symbol,price,float_shares
ILMN,340.95,145.44M
INCY,89.73,184.89M
IR,34.47,370.73M
INTC,48.91,4.25B
ICE,98.82,537.25M
IBM,121.21,889.19M
IP,37.31,391.67M
IPG,17.47,387.02M
IFF,121.63,82.49M
INTU,320.82,252.79M
ISRG,694.17,115.92M
IVZ,10.7,374.4M
IPGP,161.0,36.97M
IQV,157.79,189.78M
IRM,30.1,285M
JKHY,158.51,76.02M
J,90.62,122.73M
JBHT,135.39,83.64M
SJM,114.16,109.61M
JNJ,147.26,2.63B
JCI,40.74,742.13M
JPM,99.92,3B
JNPR,22.76,327.8M
KSU,185.17,93.72M
K,66.34,279.46M
KEY,12.52,970.32M
KEYS,93.39,186.17M
KMB,148.97,339.83M
KIM,12.26,411.48M
KMI,13.25,1.94B
KLAC,174.47,155.11M
KSS,22.38,156.08M
KHC,31.76,970.41M
KR,34.62,749.09M
LB,28.92,181.17M
LHX,179.61,214.97M
LH,173.73,96.83M
LRCX,302.72,145.04M
LW,61.1,145.29M
LVS,51.67,365.64M
LEG,42.59,130.78M
LDOS,86.55,141.38M
LEN,73.37,284.37M
LLY,149.31,793.73M
LNC,35.82,181.81M
LIN,243.05,524.11M
LYV,57.81,141.31M
LKQ,32.12,280.02M
LMT,380.23,236.74M
L,35.63,238.55M
LOW,153.74,754.13M
LYB,70.08,255.62M
MTB,102.26,127.5M
MRO,4.5,786.9M
MPC,32.33,646.86M
MKTX,449.62,36.68M
MAR,103.98,276.01M
MMC,113.48,505.12M
MLM,206.93,58.61M
MAS,56.0,260.06M
MA,329.88,991.09M
MKC,197.52,130.91M
MXIM,65.36,264.61M
MCD,213.58,743.5M
MCK,149.93,162.06M
MDT,104.58,1.34B
MRK,83.33,2.53B
MET,37.88,768.65M
MTD,947.62,23.54M
MGM,23.17,429.76M
MCHP,102.88,246.97M
MU,45.03,1.11B
MSFT,202.66,7.46B
MAA,115.68,113.56M
MHK,92.54,58.4M
TAP,37.76,189.22M
MDLZ,56.39,1.43B
MNST,80.1,376.79M
MCO,278.7,186.77M
MS,50.17,1.12B
MOS,17.49,343.79M
MSI,152.49,169.08M
MSCI,339.64,81.02M
MYL,15.64,513.48M
NDAQ,126.44,114.3M
NOV,11.4,361.59M
NTAP,45.2,221.35M
NFLX,507.02,434.51M
NWL,16.36,420.74M
NEM,65.77,800.2M
NWSA,14.64,507.43M
NWS,14.61,507.43M
NEE,277.91,488.45M
NLSN,14.85,320.56M
NKE,112.72,1.23B
NI,21.97,381.36M
NBL,9.4,473.77M
NSC,206.75,254.67M
NTRS,81.61,205.06M
NOC,334.56,165.98M
NLOK,22.59,586.01M
NCLH,18.53,273.74M
NRG,31.96,242.29M
NUE,45.59,300.01M
NVDA,476.52,590.76M
NVR,3915.61,3.6M
ORLY,470.41,72.83M
OXY,11.06,927.61M
ODFL,194.28,100.05M
OMC,53.83,213.32M
OKE,26.15,441.13M
ORCL,55.32,1.92B
OTIS,60.63,432.93M
PCAR,83.49,339.64M
PKG,103.48,92.67M
PH,203.11,127.87M
PAYX,74.29,320.16M
PAYC,272.51,48.73M
PYPL,185.95,1.17B
PNR,43.68,164.73M
PBCT,10.55,415.57M
PEP,135.55,1.38B
PKI,112.01,101.37M
PRGO,48.25,136.09M
PFE,35.93,5.55B
PM,79.03,1.55B
PSX,57.96,435.61M
PNW,73.18,112.23M
PXD,94.36,162.61M
PNC,110.3,421.68M
PPG,120.99,235.55M
PPL,28.23,767.97M
PFG,42.09,273.31M
PG,135.94,2.48B
PGR,91.81,582.97M
PLD,98.8,736.35M
PRU,67.82,394M
PEG,52.0,505.07M
PSA,213.95,151.5M
PHM,43.19,261.06M
PVH,66.04,70.48M
QRVO,114.11,113.5M
PWR,51.36,136.43M
QCOM,109.77,1.13B
DGX,107.4,133.53M
RL,75.06,42.9M
RJF,73.31,121.47M
RTX,59.25,1.37B
O,64.0,344.3M
REG,40.97,167.26M
REGN,561.89,100.67M
RF,11.37,956.65M
RSG,93.29,209.07M
RMD,171.42,143.59M
RHI,51.85,109.42M
ROK,220.92,115.68M
ROL,53.85,163.54M
ROP,393.95,104.17M
ROST,93.59,344.74M
RCL,71.51,182.99M
SPGI,340.66,240.6M
CRM,241.27,876.23M
SBAC,305.79,110.64M
SLB,18.38,1.38B
STX,45.69,224.78M
SEE,38.5,146.73M
SRE,119.09,288.72M
NOW,443.14,190.63M
SHW,669.3,80.82M
SPG,70.05,303.19M
SWKS,130.84,166.33M
SLG,47.05,72.88M
SNA,147.67,53.7M
SO,52.85,1.05B
LUV,40.5,587.78M
SWK,155.6,159.3M
SBUX,85.41,1.13B
STT,65.55,332.94M
STE,159.02,84.59M
SYK,200.08,332.09M
SIVB,253.38,51.47M
SYF,25.53,539.63M
SNPS,198.99,150.77M
SYY,59.48,507.69M
TMUS,111.57,561.06M
TROW,127.96,219.7M
TTWO,156.22,108.26M
TPR,15.0,274.84M
TGT,144.0,499.16M
TEL,95.4,327.2M
FTI,7.24,422.27M
TDY,312.89,36.3M
TFX,381.94,46.37M
TXN,136.04,914.33M
TXT,38.27,226.9M
TMO,405.3,394.68M
